item,BT_Score_Bipartite,BT_Strength_Bipartite,BT_Total_Wins
vocab_q0,-1.0884772409241965,0.3367288604304934,568.0
vocab_q1,-0.4709857991779568,0.6243864451492473,767.0
vocab_q10,0.6961948295315852,2.0061045955504158,1175.0
vocab_q11,-0.49726429331877625,0.6081922214272452,755.0
vocab_q12,-0.5590157032129084,0.5717715798910697,734.0
vocab_q13,-0.6542678726203851,0.5198224995903717,702.0
vocab_q14,-1.2077632419048954,0.29886502111850666,528.0
vocab_q15,-0.020316803500717358,0.9798881921190136,922.0
vocab_q16,-0.5619704348384229,0.5700846417734075,733.0
vocab_q17,-1.6370552987238105,0.1945520974213474,410.0
vocab_q18,1.904445250583321,6.7156810739204085,1533.0
vocab_q19,-1.2055669614107516,0.2995221338725932,528.0
vocab_q2,-1.1055105975036723,0.33104180995993493,560.0
vocab_q20,-0.29310426055443145,0.7459443640698018,824.0
vocab_q21,0.26022485404065654,1.2972217394246295,1019.0
vocab_q22,-1.467435392032424,0.2305159106993566,453.0
vocab_q23,-1.535258561511967,0.215399989821894,435.0
vocab_q24,0.44454888904881784,1.5597864003729691,1083.0
vocab_q25,-0.3084376384697932,0.7345937611618232,817.0
vocab_q26,-1.9122572052056654,0.14774651572527064,343.0
vocab_q27,0.573653460509687,1.77473916087584,1128.0
vocab_q28,-2.0027116906312727,0.1349687929456985,323.0
vocab_q29,-1.6238513905531173,0.19713797975742856,411.0
vocab_q3,-1.9876761118573263,0.13701345971878526,329.0
vocab_q30,1.0302730552048025,2.80183078473628,1279.0
vocab_q31,0.7780546688023677,2.1772327044555237,1196.0
vocab_q32,0.6866167630316942,1.986981718615122,1165.0
vocab_q33,-0.862975985914234,0.4219046299296819,629.0
vocab_q34,2.579569073239912,13.191452384833033,1664.0
vocab_q35,0.8575227456637745,2.357313788755537,1220.0
vocab_q4,2.448792492822237,11.57436215231319,1653.0
vocab_q5,-0.5496363151854505,0.5771596764255129,739.0
vocab_q6,-0.7168945605191501,0.48826618512405795,683.0
vocab_q7,0.3529278602540958,1.4232284683900973,1056.0
vocab_q8,-0.7993859240089971,0.4496049709820694,655.0
vocab_q9,-0.5791667159437885,0.560365115387528,728.0
